occ_code,occ_title,soc10,aioe_lm,aioe_img,aioe_all,communication,responsibility,physical_condition,criticality,routine,skills,complementarity_theta,c_aioe,caioe_w50,median_theta,median_aioe_all
51-4051,Metal-Refining Furnace Operators and Tenders,514051,0.47447097,0.53574979,5.5083389,51,70.5,32,66.666664,36.5,40,0.49444443,4.4877663,4.9980526,0.57583332,6.0017815
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",439051,0.52519399,0.52873528,5.6656513,56.5,61.5,38.5,77,47.5,40,0.53500003,4.3861585,5.0259047,0.57583332,6.0017815
13-2031,Budget Analysts,132031,0.69732273,0.58881235,6.712059,59.5,42,23.5,67,42.5,80,0.52416664,5.2689667,5.9905128,0.57583332,6.0017815
43-4041,"Credit Authorizers, Checkers, and Clerks",434041,0.71834385,0.56942296,6.6838002,54.5,54,33,75.666664,49,40,0.51027775,5.3396139,6.0117073,0.57583332,6.0017815
53-7031,Dredge Operators,537031,0.47857833,0.54509783,5.5763206,56.5,54,56.5,68,35.5,40,0.51749998,4.4145875,4.9954538,0.57583332,6.0017815
51-8031,Water and Wastewater Treatment Plant and System Operators,518031,0.53819519,0.54995334,5.8339891,54.5,64.5,62.5,81.333336,50.5,60,0.62222224,4.0076265,4.9208078,0.57583332,6.0017815
13-1071,Human Resources Specialists,131071,0.7193644,0.56955224,6.6476288,78,64.5,26.5,69,48.5,80,0.61083335,4.6422606,5.6449447,0.57583332,6.0017815
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",514033,0.4838407,0.54046834,5.5882573,47.5,57.5,34,61.666668,43.5,40,0.47361115,4.6692991,5.1287785,0.57583332,6.0017815
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",519032,0.48343244,0.53738081,5.5480881,49,71,37.5,62.666668,37.5,40,0.49611115,4.5109038,5.0294957,0.57583332,6.0017815
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",514022,0.51063865,0.53879714,5.6718717,68.5,74,44,67,36.5,40,0.55000001,4.3058958,4.988884,0.57583332,6.0017815
29-2011,Medical and Clinical Laboratory Technologists,292011,0.5824241,0.5780127,6.161386,52.333332,56.5,31.166666,82,39.833332,86.666664,0.58083332,4.4875431,5.3244643,0.57583332,6.0017815
11-9111,Medical and Health Services Managers,119111,0.69860876,0.57671762,6.6026473,69.5,71,25,58.666668,44.5,80,0.58111113,4.8070941,5.7048707,0.57583332,6.0017815
53-7063,Machine Feeders and Offbearers,537063,0.49930334,0.52399141,5.5669608,50.5,57.5,32.5,47.333332,32,40,0.43305552,4.8772764,5.2221189,0.57583332,6.0017815
13-2053,Insurance Underwriters,132053,0.69407058,0.5863232,6.6325746,54,23,28.5,71.333336,44,80,0.50138891,5.3576465,5.9951105,0.57583332,6.0017815
51-4071,Foundry Mold and Coremakers,514071,0.44552124,0.50951695,5.2501087,44,64.5,42,56.333332,28,40,0.45805553,4.4684262,4.8592672,0.57583332,6.0017815
51-9011,Chemical Equipment Operators and Tenders,519011,0.52801204,0.55031312,5.804009,51.5,80.5,64.5,72.666664,41,40,0.58361107,4.2111311,5.0075703,0.57583332,6.0017815
29-1124,Radiation Therapists,291124,0.55898517,0.55208689,5.9358916,56,69.5,49.5,82,41,60,0.59666669,4.2293224,5.0826073,0.57583332,6.0017815
15-1133,"Software Developers, Systems Software",151133,0.68583906,0.59063965,6.6130371,64,37.5,27.5,57.666668,42.5,80,0.5152778,5.2500167,5.9315267,0.57583332,6.0017815
43-3011,Bill and Account Collectors,433011,0.6947726,0.57448345,6.6079359,44.5,35.5,24.5,63.666668,35,40,0.40527779,5.9728398,6.2903876,0.57583332,6.0017815
43-3041,Gaming Cage Workers,433041,0.62846535,0.54157639,6.2160769,58,48.5,38.5,65.666664,31.5,40,0.47027776,5.2145982,5.7153373,0.57583332,6.0017815
53-6011,Bridge and Lock Tenders,536011,0.51765704,0.54918653,5.7496052,44,50,45.5,74.666664,41,40,0.49194443,4.6987052,5.2241554,0.57583332,6.0017815
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",513022,0.49823481,0.5242179,5.5362115,41,58,58.5,65.333336,29,20,0.45305556,4.7396121,5.1379118,0.57583332,6.0017815
31-9095,Pharmacy Aides,319095,0.58361018,0.53982174,5.9645929,45,57.5,46,65.666664,42.5,40,0.49444443,4.8594866,5.4120398,0.57583332,6.0017815
51-3093,Food Cooking Machine Operators and Tenders,513093,0.53310424,0.53634036,5.7839646,48.5,62.5,57.5,73.333336,52.5,40,0.55722225,4.3492198,5.0665922,0.57583332,6.0017815
15-1132,"Software Developers, Applications",151132,0.66150856,0.60026467,6.5759015,64,37.5,27.5,57.666668,42.5,80,0.5152778,5.2205348,5.8982182,0.57583332,6.0017815
11-9081,Lodging Managers,119081,0.62576491,0.56024122,6.2158608,81.5,84.5,30,72.333336,51.5,80,0.66638893,3.9954169,5.105639,0.57583332,6.0017815
43-4171,Receptionists and Information Clerks,434171,0.67446536,0.5666638,6.4912782,60.5,42,27,60.333332,42.5,40,0.45388886,5.551846,6.0215621,0.57583332,6.0017815
11-3111,Compensation and Benefits Managers,113111,0.71159828,0.56926316,6.6197653,67,57,17.5,66.333336,49.5,80,0.56222224,4.9445968,5.7821813,0.57583332,6.0017815
43-9021,Data Entry Keyers,439021,0.6008001,0.56249207,6.1746778,49,42,28.5,65.666664,46.5,40,0.45277777,5.2879257,5.7313018,0.57583332,6.0017815
35-9021,Dishwashers,359021,0.45241782,0.50945497,5.2508917,40.5,44.5,46.5,51.333332,42.5,20,0.40888888,4.7272611,4.9890766,0.57583332,6.0017815
27-3011,Radio and Television Announcers,273011,0.68223798,0.55646402,6.4174304,76,30.5,44,74.333336,48.5,80,0.58888888,4.6223326,5.5198812,0.57583332,6.0017815
47-3016,Helpers--Roofers,473016,0.44328305,0.50496775,5.1789474,58.5,68.5,75,54.666668,28.5,40,0.54194444,3.9734037,4.5761757,0.57583332,6.0017815
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",519051,0.51356429,0.51973885,5.6026506,48.5,80.5,40,67.333336,39.5,40,0.52638888,4.3856306,4.9941406,0.57583332,6.0017815
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",519021,0.48882914,0.53358006,5.5642276,55,67,45,64.666664,32,40,0.50611109,4.4683843,5.0163059,0.57583332,6.0017815
17-2041,Chemical Engineers,172041,0.66360182,0.61250573,6.6391935,68,72.5,38,67.666664,45.5,80,0.61944443,4.5791993,5.6091967,0.57583332,6.0017815
51-9191,Adhesive Bonding Machine Operators and Tenders,519191,0.47601613,0.5221172,5.4434514,60,73,38,73,35,40,0.5316667,4.2322831,4.8378673,0.57583332,6.0017815
51-9141,Semiconductor Processors,519141,0.52499282,0.54783702,5.7473445,44,64.5,33.5,62.333332,33.5,40,0.46305552,4.8628922,5.3051186,0.57583332,6.0017815
43-9111,Statistical Assistants,439111,0.67617935,0.60065579,6.6636024,58.25,42,28.5,54.166668,43,80,0.50986117,5.3262539,5.9949284,0.57583332,6.0017815
15-1141,Database Administrators,151141,0.67130244,0.59908897,6.6137381,61.75,28,27,59.166668,41,80,0.49486116,5.3856034,5.9996705,0.57583332,6.0017815
13-2082,Tax Preparers,132082,0.68395072,0.58150166,6.6177258,49.5,29.5,21.5,68.666664,46,60,0.4586111,5.6287436,6.1232347,0.57583332,6.0017815
17-3024,Electro-Mechanical Technicians,173024,0.53739101,0.56366372,5.8979402,60.25,64.5,47.25,69.666664,41.25,60,0.57152778,4.3505502,5.1242452,0.57583332,6.0017815
43-5071,"Shipping, Receiving, and Traffic Clerks",435071,0.52291977,0.5406183,5.6981716,56.5,76.5,37.5,59.333332,48.5,40,0.53055555,4.4366598,5.0674157,0.57583332,6.0017815
17-3022,Civil Engineering Technicians,173022,0.63340276,0.59772503,6.4548283,64,56.5,60,62,39.5,60,0.56999999,4.771194,5.6130109,0.57583332,6.0017815
39-3012,Gaming and Sports Book Writers and Runners,393012,0.61732441,0.55984396,6.2443047,63,46,42.5,46,34.5,40,0.45333335,5.3440838,5.7941942,0.57583332,6.0017815
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",514021,0.47265202,0.53240895,5.4781895,49,46,31,79,31.5,40,0.46083334,4.6473308,5.0627599,0.57583332,6.0017815
53-7071,Gas Compressor and Gas Pumping Station Operators,537071,0.51134807,0.54668313,5.7231083,61,79.5,81,80.333336,48,40,0.64972222,3.7740719,4.74859,0.57583332,6.0017815
51-3092,Food Batchmakers,513092,0.54951435,0.53847402,5.8636932,61,75.5,36.5,56,28.5,40,0.49583334,4.7691374,5.3164153,0.57583332,6.0017815
17-2061,Computer Hardware Engineers,172061,0.66966581,0.59477633,6.5492568,60.5,47.5,27,53.666668,44.5,80,0.52194446,5.1557202,5.8524885,0.57583332,6.0017815
29-2051,Dietetic Technicians,292051,0.57511497,0.55136585,5.9777718,64.5,84,40.5,66.333336,46.5,60,0.6030556,4.2209706,5.0993714,0.57583332,6.0017815
41-3021,Insurance Sales Agents,413021,0.70819163,0.57229131,6.6391582,64.5,25,47.5,72.333336,45.5,80,0.55805558,4.9867454,5.812952,0.57583332,6.0017815
43-3051,Payroll and Timekeeping Clerks,433051,0.68495542,0.57494891,6.6014633,59,25.5,23,55,39.5,60,0.43666667,5.7597766,6.1806202,0.57583332,6.0017815
17-1022,Surveyors,171022,0.57566714,0.57313401,6.1004171,64.25,58,64,63.333332,40.5,80,0.61680549,4.2236919,5.1620545,0.57583332,6.0017815
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",514031,0.48764864,0.5374397,5.5673409,47.5,56.5,31.5,67,42,40,0.47416666,4.6487298,5.1080351,0.57583332,6.0017815
43-4061,"Eligibility Interviewers, Government Programs",434061,0.70731068,0.5629943,6.5873342,59,31.5,32.5,72,43,60,0.49666667,5.3522091,5.9697714,0.57583332,6.0017815
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",519023,0.50551027,0.54081941,5.665112,57.5,76.5,46,68,42.5,40,0.55083334,4.2960434,4.9805775,0.57583332,6.0017815
31-9094,Medical Transcriptionists,319094,0.68843883,0.55661142,6.5135474,54,69,29.5,59.666668,47,60,0.53194445,5.0624738,5.7880106,0.57583332,6.0017815
29-2057,Ophthalmic Medical Technicians,292057,0.59314525,0.55361778,6.0700693,53.5,59.5,45,71,39,60,0.54666668,4.628428,5.3492484,0.57583332,6.0017815
13-1081,Logisticians,131081,0.67860991,0.59498781,6.6130233,62,50.333332,38.833336,57.666668,44.166668,80,0.55500001,4.9873219,5.8001723,0.57583332,6.0017815
11-3031,Financial Managers,113031,0.69685906,0.58892131,6.6864758,68.833336,64.166664,24.166666,70.444443,49.333336,80,0.5949074,4.7758775,5.7311764,0.57583332,6.0017815
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",514032,0.51013958,0.54500824,5.69209,55.5,62,29,70.666664,45,40,0.50361109,4.5852947,5.1386924,0.57583332,6.0017815
19-4041,Geological and Petroleum Technicians,194041,0.58377761,0.56478447,6.0773177,53.5,53.5,41,62.666668,45,80,0.55944449,4.5562997,5.3168087,0.57583332,6.0017815
47-2011,Boilermakers,472011,0.49004456,0.5339582,5.5398617,62.5,75.5,74,60.333332,43,60,0.62555557,3.7871108,4.6634865,0.57583332,6.0017815
51-5113,Print Binding and Finishing Workers,515113,0.50781924,0.53654832,5.6261015,48,62,29,59.333332,38,40,0.46055552,4.7743726,5.2002368,0.57583332,6.0017815
41-9021,Real Estate Brokers,419021,0.70143628,0.56657535,6.552804,69.5,42.5,63,80.333336,55,80,0.65055555,4.3157496,5.4342766,0.57583332,6.0017815
21-1092,Probation Officers and Correctional Treatment Specialists,211092,0.66280985,0.54339409,6.2722378,66,59,64,72.666664,44.5,80,0.64361107,4.1745229,5.2233806,0.57583332,6.0017815
27-4012,Broadcast Technicians,274012,0.57658482,0.56969661,6.089673,60,54,43.5,66,43,60,0.54416668,4.6585999,5.3741364,0.57583332,6.0017815
31-1015,Orderlies,311015,0.49295175,0.48442644,5.2776575,59.5,70.5,61.5,78,42,40,0.58583331,3.8175058,4.5475817,0.57583332,6.0017815
53-7011,Conveyor Operators and Tenders,537011,0.51366961,0.54248953,5.6940598,52.5,63.5,54,61.333332,45,20,0.49388885,4.6422405,5.1681504,0.57583332,6.0017815
17-1021,Cartographers and Photogrammetrists,171021,0.62647825,0.59829593,6.4028454,61,37,40,58,44,80,0.53333336,4.9675407,5.6851931,0.57583332,6.0017815
51-8012,Power Distributors and Dispatchers,518012,0.60801184,0.58005619,6.2605076,52.5,86,54.5,87.666664,43.5,60,0.64027774,4.1875844,5.2240458,0.57583332,6.0017815
19-2099,"Physical Scientists, All Other",192099,0.66415846,0.59536594,6.548511,63,37,35,51.333332,43,100,0.54888886,4.9786878,5.7635994,0.57583332,6.0017815
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",514023,0.48452619,0.53203458,5.543613,55,72,34,65.333336,41.5,40,0.51305556,4.413332,4.9784722,0.57583332,6.0017815
15-1151,Computer User Support Specialists,151151,0.61396867,0.56149954,6.1695099,63.5,50,51,70,49,60,0.57249999,4.5448723,5.3571911,0.57583332,6.0017815
43-4081,"Hotel, Motel, and Resort Desk Clerks",434081,0.64687449,0.55681753,6.307878,66,63,37.5,65.333336,44.5,40,0.52722222,4.9324102,5.6201439,0.57583332,6.0017815
51-4052,"Pourers and Casters, Metal",514052,0.48818347,0.54126579,5.5797048,50,71,34.5,59,30,40,0.47416666,4.6590533,5.119379,0.57583332,6.0017815
43-4111,"Interviewers, Except Eligibility and Loan",434111,0.71004605,0.56025094,6.6192226,62,63.5,43,60.333332,41.5,60,0.55055553,5.0214162,5.8203192,0.57583332,6.0017815
19-1021,Biochemists and Biophysicists,191021,0.65397233,0.58582956,6.4429865,63.5,64,27.5,69.666664,49,100,0.62277776,4.4223943,5.4326906,0.57583332,6.0017815
25-4031,Library Technicians,254031,0.60141575,0.54484785,6.0516925,60,38.5,37.5,58.333332,48,60,0.50388885,4.8732939,5.4624929,0.57583332,6.0017815
51-9198,Helpers--Production Workers,519198,0.47003314,0.52093291,5.3984275,49,53.5,41,61,37,40,0.46916667,4.5346789,4.9665532,0.57583332,6.0017815
15-1121,Computer Systems Analysts,151121,0.67556804,0.59360254,6.5746417,67.75,53,28.75,63.333332,47,80,0.56638885,4.8834982,5.7290697,0.57583332,6.0017815
53-2022,Airfield Operations Specialists,532022,0.60708487,0.58329558,6.2530036,69.5,76.5,75.5,91.666664,53,60,0.71027774,3.7448547,4.998929,0.57583332,6.0017815
15-1142,Network and Computer Systems Administrators,151142,0.6267038,0.59261644,6.3904648,50.5,33.5,32.5,57.333332,47,80,0.50138885,5.1620755,5.7762704,0.57583332,6.0017815
11-9131,Postmasters and Mail Superintendents,119131,0.66015095,0.56700051,6.4057202,84,92,51,66,43.5,40,0.6275,4.3665662,5.3861432,0.57583332,6.0017815
47-4091,Segmental Pavers,474091,0.50478148,0.53377402,5.591609,64.5,68.5,73.5,66.666664,41.5,40,0.59111112,4.0150857,4.8033476,0.57583332,6.0017815
25-1192,"Home Economics Teachers, Postsecondary",251192,0.71167684,0.57066059,6.5807376,66.5,49.5,26,64,52.5,100,0.59750003,4.6832914,5.6320143,0.57583332,6.0017815
43-4151,Order Clerks,434151,0.65119815,0.56845921,6.4127116,56.5,52,36,63,48.5,40,0.49333334,5.2317038,5.8222079,0.57583332,6.0017815
51-5112,Printing Press Operators,515112,0.51377589,0.54929483,5.7148194,52,64,26.5,70.666664,45.5,40,0.49777776,4.636941,5.1758804,0.57583332,6.0017815
43-5041,"Meter Readers, Utilities",435041,0.49814025,0.5391224,5.5962758,37.5,63.5,68.5,64,39.5,40,0.52166665,4.4070673,5.0016718,0.57583332,6.0017815
53-6021,Parking Lot Attendants,536021,0.49722922,0.55293363,5.6580238,56.5,51,69,55.333332,37.5,40,0.5155555,4.4902711,5.0741472,0.57583332,6.0017815
41-3031,"Securities, Commodities, and Financial Services Sales Agents",413031,0.69389307,0.57471204,6.601428,62.5,39,27.5,74.666664,50.5,80,0.55694443,4.9657412,5.7835846,0.57583332,6.0017815
29-2035,Magnetic Resonance Imaging Technologists,292035,0.57435405,0.55412257,6.0017815,56.5,74,40.5,81.333336,41,60,0.58888888,4.3229499,5.1623654,0.57583332,6.0017815
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",131023,0.71407694,0.5819627,6.7148504,65,53,26,75.333336,50,80,0.58222222,4.8813233,5.7980866,0.57583332,6.0017815
49-9043,"Maintenance Workers, Machinery",499043,0.49915117,0.53654957,5.5957475,51.5,58.5,63,67.333336,41.5,60,0.56972224,4.1377444,4.8667459,0.57583332,6.0017815
53-7041,Hoist and Winch Operators,537041,0.48961785,0.54114521,5.5936513,51,74.5,55,90.333336,52,40,0.60472226,3.9404163,4.7670341,0.57583332,6.0017815
41-3099,"Sales Representatives, Services, All Other",413099,0.69234204,0.57889533,6.6217661,62.5,39,27.5,74.666664,50.5,80,0.55694443,4.9810395,5.801403,0.57583332,6.0017815
33-9093,Transportation Security Screeners,339093,0.54128551,0.53994501,5.8061118,62.5,52.5,54,63.666668,28,40,0.50111115,4.6916609,5.2488861,0.57583332,6.0017815
29-1051,Pharmacists,291051,0.6348905,0.56718034,6.3076787,53.5,78,40,93.666664,44,100,0.68194443,3.9563165,5.1319976,0.57583332,6.0017815
11-3021,Computer and Information Systems Managers,113021,0.66694444,0.58751464,6.5123134,59,69,22.5,75.666664,55,80,0.60194445,4.6056528,5.5589828,0.57583332,6.0017815
53-1011,Aircraft Cargo Handling Supervisors,531011,0.52175629,0.54182816,5.7149086,71,87,76.5,81.666664,51.5,40,0.67944443,3.598805,4.656857,0.57583332,6.0017815
15-1143,Computer Network Architects,151143,0.62845552,0.57777649,6.3093185,60,48.5,33.5,62.5,45.75,70,0.53375,4.8923507,5.6008348,0.57583332,6.0017815
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",516062,0.49051973,0.53501308,5.5734801,47,36.5,32.5,50.333332,25,40,0.38555554,5.1477284,5.3606043,0.57583332,6.0017815
17-3031,Surveying and Mapping Technicians,173031,0.56120455,0.57953089,6.0559316,55,49.5,55.5,65.333336,44,60,0.54888892,4.6041899,5.330061,0.57583332,6.0017815
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",434161,0.71279407,0.57478535,6.644495,53.5,50.5,27.5,55.666668,48.5,60,0.49277782,5.4244914,6.0344934,0.57583332,6.0017815
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",516064,0.46479678,0.52231818,5.4067101,43,48,34.5,44,32,40,0.4025,4.9020839,5.154397,0.57583332,6.0017815
51-9199,"Production Workers, All Other",519199,0.4693971,0.53178817,5.4526711,49.333336,57.333336,43.666664,62.555557,43,53.333332,0.51537037,4.32831,4.8904905,0.57583332,6.0017815
